#wavelength	flux_tell_corrected	flux_not_tell_corrected	variance/error
3351.22733561	7.507570239798607e-18	7.507570239798607e-18	2.652354250261001e-17
3351.42731909	7.507570239798607e-18	7.507570239798607e-18	2.718052067258e-17
3351.62730257	6.8602855902986e-18	6.8602855902986e-18	2.70892716049e-17
3351.82728605	6.8602855902986e-18	6.8602855902986e-18	2.688830541474e-17
3352.02726953	6.8602855902986e-18	6.8602855902986e-18	2.6719341668e-17
3352.22725301	7.507570239798607e-18	7.507570239798607e-18	2.644304924296001e-17
3352.42723649	7.507570239798607e-18	7.507570239798607e-18	2.685819182675e-17
3352.62721997	7.507570239798607e-18	7.507570239798607e-18	2.582300756141e-17
3352.82720345	7.507570239798607e-18	7.507570239798607e-18	2.54858191665e-17
3353.02718693	1.1530112714398605e-17	1.1530112714398605e-17	2.569728316587e-17
3353.22717041	7.507570239798607e-18	7.507570239798607e-18	2.52075347475e-17
3353.42715389	7.507570239798607e-18	7.507570239798607e-18	2.679524647760001e-17
3353.62713737	7.507570239798607e-18	7.507570239798607e-18	2.579876877799999e-17
3353.82712085	7.507570239798607e-18	7.507570239798607e-18	2.568143917037999e-17
3354.02710433	7.507570239798607e-18	7.507570239798607e-18	2.4914153412e-17
3354.22708781	1.1530112714398605e-17	1.1530112714398605e-17	2.507702626286e-17
3354.42807121	1.1530112714398605e-17	1.1530112714398605e-17	2.542181063637001e-17
3354.62805469	1.1530112714398605e-17	1.1530112714398605e-17	2.602055894222e-17
3354.82803817	7.507570239798607e-18	7.507570239798607e-18	2.503822033608e-17
3355.02802165	1.1530112714398605e-17	1.1530112714398605e-17	2.60398578348e-17
3355.22800513	1.1530112714398605e-17	1.1530112714398605e-17	2.470586807544e-17
3355.42798861	1.1530112714398605e-17	1.1530112714398605e-17	2.557945198541e-17
3355.62797209	1.1530112714398605e-17	1.1530112714398605e-17	2.471299223404e-17
3355.82795557	1.1530112714398605e-17	1.1530112714398605e-17	2.496454243856999e-17
3356.02793905	1.0925188384098606e-17	1.0925188384098606e-17	2.510414947611e-17
3356.22792254	7.507570239798607e-18	7.507570239798607e-18	2.498428758464001e-17
3356.42790602	7.92724626379861e-18	7.92724626379861e-18	2.518021452232e-17
3356.6278895	7.507570239798607e-18	7.507570239798607e-18	2.469259540123999e-17
3356.82787298	7.507570239798607e-18	7.507570239798607e-18	2.497998420792e-17
3357.02785646	7.293389297498604e-18	7.293389297498604e-18	2.463817636962e-17
3357.22783994	7.293389297498604e-18	7.293389297498604e-18	2.584515011610001e-17
3357.42782342	7.293389297498604e-18	7.293389297498604e-18	2.501788556676e-17
3357.6278069	7.293389297498604e-18	7.293389297498604e-18	2.473292758848e-17
3357.82779038	7.293389297498604e-18	7.293389297498604e-18	2.4903196781e-17
3358.02777386	7.293389297498604e-18	7.293389297498604e-18	2.394650614131e-17
3358.22775734	6.781405087998607e-18	6.781405087998607e-18	2.432806021983e-17
3358.42774082	7.293389297498604e-18	7.293389297498604e-18	2.425020434606e-17
3358.6277243	6.781405087998607e-18	6.781405087998607e-18	2.491130896016001e-17
3358.82770778	7.293389297498604e-18	7.293389297498604e-18	2.461974659705e-17
3359.02769126	7.293389297498604e-18	7.293389297498604e-18	2.465830147688e-17
3359.22767474	7.293389297498604e-18	7.293389297498604e-18	2.469280065264e-17
3359.42765822	7.92724626379861e-18	7.92724626379861e-18	2.399264968885001e-17
3359.6276417	7.92724626379861e-18	7.92724626379861e-18	2.346964067581e-17
3359.82762519	7.92724626379861e-18	7.92724626379861e-18	2.3386559735e-17
3360.02860858	7.92724626379861e-18	7.92724626379861e-18	2.367802140018001e-17
3360.22859206	7.293389297498604e-18	7.293389297498604e-18	2.381759900955e-17
3360.42857555	7.293389297498604e-18	7.293389297498604e-18	2.373307373522999e-17
3360.62855903	7.293389297498604e-18	7.293389297498604e-18	2.33510002544e-17
3360.82854251	7.33657959709861e-18	7.33657959709861e-18	2.342818373056e-17
3361.02852599	7.293389297498604e-18	7.293389297498604e-18	2.3444232418e-17
3361.22850947	7.33657959709861e-18	7.33657959709861e-18	2.33702473125e-17
3361.42849295	7.293389297498604e-18	7.293389297498604e-18	2.36868456744e-17
3361.62847643	7.293389297498604e-18	7.293389297498604e-18	2.329136712511e-17
3361.82845991	7.293389297498604e-18	7.293389297498604e-18	2.316820011090001e-17
3362.02844339	7.33657959709861e-18	7.33657959709861e-18	2.337719494644e-17
3362.22842687	7.92724626379861e-18	7.92724626379861e-18	2.22075911876e-17
3362.42841035	7.92724626379861e-18	7.92724626379861e-18	2.264326819482e-17
3362.62839384	7.92724626379861e-18	7.92724626379861e-18	2.399089173299999e-17
3362.82837732	7.92724626379861e-18	7.92724626379861e-18	2.237799128788e-17
3363.0283608	7.33657959709861e-18	7.33657959709861e-18	2.30638669183e-17
3363.22834428	7.293389297498604e-18	7.293389297498604e-18	2.282890951768e-17
3363.42832776	7.33657959709861e-18	7.33657959709861e-18	2.319763137964999e-17
3363.62831124	7.33657959709861e-18	7.33657959709861e-18	2.256789145968e-17
3363.82829472	7.33657959709861e-18	7.33657959709861e-18	2.3563706571e-17
3364.0282782	7.33657959709861e-18	7.33657959709861e-18	2.234399364317e-17
3364.22826168	7.33657959709861e-18	7.33657959709861e-18	2.272301060072001e-17
3364.42824517	7.33657959709861e-18	7.33657959709861e-18	2.286123595083999e-17
3364.62822865	7.92724626379861e-18	7.92724626379861e-18	2.231422182971999e-17
3364.82821213	8.810528516598607e-18	8.810528516598607e-18	2.294033586906e-17
3365.02819561	9.06940910729861e-18	9.06940910729861e-18	2.285010671856e-17
3365.22817909	8.810528516598607e-18	8.810528516598607e-18	2.244035229576e-17
3365.42816257	8.810528516598607e-18	8.810528516598607e-18	2.234741125603e-17
3365.62914597	8.810528516598607e-18	8.810528516598607e-18	2.351715565452e-17
3365.82912945	8.810528516598607e-18	8.810528516598607e-18	2.281484829324e-17
3366.02911293	8.810528516598607e-18	8.810528516598607e-18	2.253757506036e-17
3366.22909642	9.06940910729861e-18	9.06940910729861e-18	2.326660994415e-17
3366.4290799	9.35877702419861e-18	9.35877702419861e-18	2.232377108692e-17
3366.62906338	9.972641966898607e-18	9.972641966898607e-18	2.364268272219999e-17
3366.82904686	9.972641966898607e-18	9.972641966898607e-18	2.21763899312e-17
3367.02903034	1.080064100589861e-17	1.080064100589861e-17	2.233184670882e-17
3367.22901382	1.1419311689198602e-17	1.1419311689198602e-17	2.204361376245e-17
3367.4289973	1.2395627242998608e-17	1.2395627242998608e-17	2.245253626021999e-17
3367.62898079	1.247493907269861e-17	1.247493907269861e-17	2.266059827434001e-17
3367.82896427	1.2395627242998608e-17	1.2395627242998608e-17	2.316068494506e-17
3368.02894775	1.2395627242998608e-17	1.2395627242998608e-17	2.28532495814e-17
3368.22893123	1.247493907269861e-17	1.247493907269861e-17	2.271281700240001e-17
3368.42891471	1.247493907269861e-17	1.247493907269861e-17	2.349324372276e-17
3368.62889819	1.2395627242998608e-17	1.2395627242998608e-17	2.366707040370999e-17
3368.82888167	1.247493907269861e-17	1.247493907269861e-17	2.400797971536e-17
3369.02886516	1.30763957332986e-17	1.30763957332986e-17	2.356510516968e-17
3369.22884864	1.30763957332986e-17	1.30763957332986e-17	2.341768741241999e-17
3369.42883212	1.30763957332986e-17	1.30763957332986e-17	2.425043924589001e-17
3369.6288156	1.247493907269861e-17	1.247493907269861e-17	2.357442322512e-17
3369.82879908	1.247493907269861e-17	1.247493907269861e-17	2.282490303171999e-17
3370.02878257	1.2395627242998608e-17	1.2395627242998608e-17	2.248080707488e-17
